timestamp,temperature_c,humidity_pct,co2_ppm,yield_kg
2024-07-06,20.16,87.9,942.0,15.55
2024-07-07,19.95,93.1,1009.0,17.02
2024-07-08,24.48,86.7,750.0,18.21
2024-07-09,24.59,86.1,875.0,18.06
2024-07-10,21.73,84.7,831.0,16.43
2024-07-11,21.43,83.9,910.0,16.79
2024-07-12,24.19,83.3,854.0,18.71
2024-07-13,20.34,84.3,887.0,16.96
2024-07-14,20.66,86.8,1051.0,16.52
2024-07-15,22.96,88.0,886.0,17.3
2024-07-16,21.41,87.2,933.0,16.72
2024-07-17,21.99,84.7,881.0,16.01
2024-07-18,21.75,89.7,906.0,17.33
2024-07-19,22.51,89.2,900.0,17.83
2024-07-20,24.11,86.5,936.0,16.9
2024-07-21,22.14,85.0,993.0,16.58
2024-07-22,22.97,88.6,1032.0,16.68
2024-07-23,18.92,87.6,925.0,15.72
2024-07-24,21.93,82.7,947.0,16.84
2024-07-25,20.74,86.8,808.0,15.9
2024-07-26,20.17,87.8,893.0,16.96
2024-07-27,20.68,84.3,975.0,16.85
2024-07-28,21.5,87.6,969.0,16.76
2024-07-29,23.37,82.6,917.0,16.07
2024-07-30,20.01,91.0,971.0,16.11
2024-07-31,22.05,90.7,939.0,17.89
2024-08-01,21.27,86.2,996.0,15.31
2024-08-02,21.51,88.1,923.0,16.84
2024-08-03,23.5,79.8,872.0,16.71
2024-08-04,22.81,83.5,927.0,17.57
2024-08-05,24.01,86.1,666.0,17.84
2024-08-06,21.77,83.8,931.0,17.06
2024-08-07,20.96,89.1,608.0,17.81
2024-08-08,21.66,93.0,762.0,18.54
2024-08-09,22.36,83.5,936.0,16.91
2024-08-10,22.26,84.5,938.0,17.22
2024-08-11,20.37,87.7,807.0,16.14
2024-08-12,22.14,91.8,843.0,18.14
2024-08-13,22.34,83.3,1010.0,16.47
2024-08-14,25.78,87.7,861.0,18.12
2024-08-15,24.82,92.5,1079.0,17.9
2024-08-16,20.72,82.0,900.0,15.74
2024-08-17,21.57,83.2,933.0,16.88
2024-08-18,19.8,85.7,1029.0,16.65
2024-08-19,21.11,85.4,910.0,16.93
2024-08-20,22.47,89.4,820.0,16.78
2024-08-21,23.81,87.7,891.0,17.68
2024-08-22,20.91,81.7,897.0,16.93
2024-08-23,21.02,88.5,791.0,16.21
2024-08-24,18.78,85.3,880.0,15.6
2024-08-25,21.76,90.8,841.0,17.82
2024-08-26,20.41,85.1,974.0,16.56
2024-08-27,21.21,85.1,903.0,17.02
2024-08-28,20.68,88.6,877.0,17.81
2024-08-29,21.86,89.3,892.0,17.47
2024-08-30,19.36,88.3,918.0,16.72
2024-08-31,19.8,81.9,949.0,17.49
2024-09-01,25.19,88.6,820.0,18.24
2024-09-02,20.07,83.9,817.0,16.18
2024-09-03,20.35,87.7,988.0,16.73
2024-09-04,24.76,82.7,867.0,18.05
2024-09-05,26.36,88.3,787.0,18.49
2024-09-06,20.24,84.6,936.0,15.91
2024-09-07,21.45,83.2,937.0,17.87
2024-09-08,22.51,89.1,778.0,17.82
2024-09-09,24.59,87.7,918.0,17.56
2024-09-10,20.52,85.2,959.0,16.95
2024-09-11,21.63,91.4,930.0,17.14
2024-09-12,23.17,85.7,951.0,17.21
2024-09-13,22.65,87.1,788.0,17.86
2024-09-14,21.44,87.8,926.0,16.32
2024-09-15,21.8,85.1,876.0,17.22
2024-09-16,19.94,88.4,861.0,17.64
2024-09-17,21.64,85.4,970.0,17.06
2024-09-18,21.6,85.8,1018.0,16.54
2024-09-19,22.35,91.1,1044.0,16.92
2024-09-20,21.17,83.9,1005.0,16.33
2024-09-21,22.71,79.8,891.0,16.89
2024-09-22,23.52,91.8,928.0,17.6
2024-09-23,22.23,94.6,961.0,17.94
2024-09-24,22.53,85.8,910.0,16.36
2024-09-25,22.08,81.2,910.0,17.29
2024-09-26,22.0,86.1,966.0,16.78
2024-09-27,20.92,86.1,895.0,16.98
2024-09-28,22.47,86.4,842.0,16.82
2024-09-29,21.85,83.7,867.0,17.67
2024-09-30,25.14,88.7,951.0,18.7
2024-10-01,24.36,88.6,900.0,18.42
2024-10-02,22.58,82.5,927.0,16.29
2024-10-03,20.86,89.1,954.0,17.22
2024-10-04,20.33,93.2,870.0,17.22
2024-10-05,23.79,87.5,960.0,16.79
2024-10-06,22.39,86.0,930.0,17.14
2024-10-07,22.72,86.6,801.0,17.72
2024-10-08,19.38,88.8,1015.0,16.5
2024-10-09,23.39,81.8,860.0,17.48
2024-10-10,22.68,87.5,768.0,17.79
2024-10-11,20.33,85.8,816.0,17.5
2024-10-12,21.29,92.5,818.0,17.99
2024-10-13,22.4,86.5,904.0,15.8
2024-10-14,22.08,92.0,878.0,17.31
2024-10-15,21.56,83.7,873.0,16.82
2024-10-16,21.84,88.8,950.0,16.22
2024-10-17,21.62,88.0,927.0,17.08
2024-10-18,22.23,84.4,925.0,17.66
2024-10-19,24.21,87.5,933.0,17.23
2024-10-20,18.15,90.6,949.0,16.25
2024-10-21,21.64,86.0,731.0,16.87
2024-10-22,22.26,81.9,871.0,16.7
2024-10-23,22.44,86.9,726.0,18.37
2024-10-24,21.44,84.3,903.0,16.57
2024-10-25,19.36,86.0,900.0,16.54
2024-10-26,22.49,86.8,984.0,16.18
2024-10-27,24.59,81.9,995.0,18.41
2024-10-28,19.7,82.2,916.0,16.49
2024-10-29,23.3,88.4,860.0,17.6
2024-10-30,21.51,85.4,939.0,17.13
2024-10-31,21.91,79.3,858.0,16.12
2024-11-01,20.42,89.4,900.0,17.39
2024-11-02,21.5,87.8,979.0,16.72
2024-11-03,23.95,84.9,855.0,17.62
2024-11-04,22.87,83.0,964.0,16.84
2024-11-05,24.6,89.5,954.0,17.66
2024-11-06,23.77,88.0,824.0,18.23
2024-11-07,22.66,94.1,978.0,17.68
2024-11-08,24.62,88.3,956.0,18.21
2024-11-09,22.66,88.2,908.0,17.38
2024-11-10,23.24,86.5,839.0,17.88
2024-11-11,21.56,89.5,831.0,17.07
2024-11-12,22.1,88.9,857.0,18.47
2024-11-13,20.95,90.8,943.0,16.15
2024-11-14,23.48,85.4,824.0,18.3
2024-11-15,20.23,85.7,935.0,17.17
2024-11-16,23.17,85.6,801.0,17.2
2024-11-17,21.71,89.4,884.0,18.33
2024-11-18,23.76,91.5,909.0,18.38
2024-11-19,23.13,85.6,1096.0,17.51
2024-11-20,24.73,85.7,790.0,18.14
2024-11-21,23.1,87.9,1018.0,17.18
2024-11-22,19.64,86.3,912.0,16.28
2024-11-23,21.9,89.9,933.0,17.39
2024-11-24,20.24,80.2,909.0,16.97
2024-11-25,21.22,84.5,936.0,16.81
2024-11-26,24.27,84.7,888.0,17.28
2024-11-27,22.96,80.0,1016.0,17.27
2024-11-28,20.95,84.1,863.0,17.22
2024-11-29,20.48,84.3,991.0,16.7
2024-11-30,22.05,86.4,848.0,17.61
2024-12-01,20.18,90.3,895.0,16.64
2024-12-02,20.99,86.3,814.0,16.52
2024-12-03,22.47,83.9,936.0,16.63
2024-12-04,23.73,86.8,1016.0,16.61
2024-12-05,22.91,90.1,894.0,17.71
2024-12-06,18.56,84.1,884.0,15.96
2024-12-07,22.46,84.3,811.0,17.11
2024-12-08,22.11,88.7,882.0,15.83
2024-12-09,22.62,86.3,773.0,16.93
2024-12-10,24.42,88.9,827.0,18.68
2024-12-11,18.91,87.0,918.0,15.85
2024-12-12,21.11,89.1,1006.0,16.96
2024-12-13,22.89,83.9,1125.0,16.12
2024-12-14,19.63,87.0,853.0,17.25
2024-12-15,24.21,86.4,1015.0,17.48
2024-12-16,22.55,83.4,920.0,17.24
2024-12-17,23.27,82.3,888.0,18.48
2024-12-18,21.14,89.1,935.0,17.68
2024-12-19,23.22,85.9,905.0,17.3
2024-12-20,23.6,83.9,909.0,17.16
2024-12-21,22.35,86.7,867.0,17.14
2024-12-22,22.35,90.4,788.0,17.9
2024-12-23,22.41,80.2,777.0,17.12
2024-12-24,20.7,82.5,952.0,16.23
2024-12-25,21.78,84.2,878.0,17.72
2024-12-26,21.77,91.4,852.0,17.34
2024-12-27,22.58,87.8,901.0,18.51
2024-12-28,23.5,89.3,964.0,17.63
2024-12-29,20.41,83.6,914.0,17.37
2024-12-30,21.81,83.6,848.0,17.21
